Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
2VQ6AIHM,journalArticle,2020,"Булычева, Екатерина Евгеньевна; Мальцева, Дарья Васильевна",Выделение актуальных тематик в социологии: взгляд сквозь призму анализа сети цитирований,Monitoring of Public Opinion: Economic and Social Changes Journal (Public Opinion Monitoring) ISSN 2219-5467,,2219-5467,10.14515/monitoring.2020.6.971,https://www.monitoringjournal.ru/index.php/monitoring/article/view/971,,30/12/2020,25/07/2021 15:21,25/07/2021 15:21,25/07/2021 15:21,,,6,,,,Выделение актуальных тематик в социологии,,,,,,,ru,Copyright (c) 2020 Мониторинг общественного мнения: экономические и социальные перемены,,,,www.monitoringjournal.ru,,ZSCC: 0000002  Number: 6,,C:\Users\d_mal\Zotero\storage\V4EN2MB7\Булычева_Мальцева_2020_Выделение актуальных тематик в социологии - взгляд сквозь призму анализа сети.pdf,,,web of science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UXFZSPZX,journalArticle,2020,"Batagelj, Vladimir; Maltseva, Daria",Temporal bibliographic networks,Journal of Informetrics,,,10.1016/j.joi.2020.101006,,"We present two ways (instantaneous and cumulative) to transform bibliographic networks, using the works’ publication year, into corresponding temporal networks based on temporal quantities. We also show how to use the addition of temporal quantities to define interesting temporal properties of nodes, links and their groups thus providing an insight into evolution of bibliographic networks. Using the multiplication of temporal networks we obtain different derived temporal networks providing us with new views on studied networks. The proposed approach is illustrated with examples from the collection of bibliographic networks on peer review.",01/02/2020,25/07/2021 15:18,25/07/2021 15:18,,101006,,,14,,Journal of Informetrics,,,,,,,,,,,,,ResearchGate,,ZSCC: 0000005,,C:\Users\d_mal\Zotero\storage\RC7VSDCD\Batagelj_Maltseva_2020_Temporal bibliographic networks.pdf; ,https://www.researchgate.net/publication/338975730_Temporal_bibliographic_networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDZ9APD,webpage,,,"A General Theory of Scientific/Intellectual Movements - Scott Frickel, Neil Gross, 2005",,,,,https://journals.sagepub.com/doi/10.1177/000312240507000202,,,25/07/2021 15:11,25/07/2021 15:11,25/07/2021 15:11,,,,,,,,,,,,,,,,,,,,,,,C:\Users\d_mal\Zotero\storage\4FKX3T9J\000312240507000202.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBX53AWH,webpage,,,(PDF) A General Theory of Scientific/Intellectual Movements,,,,,https://www.researchgate.net/publication/249802596_A_General_Theory_of_ScientificIntellectual_Movements,,,25/07/2021 15:11,25/07/2021 15:11,25/07/2021 15:11,,,,,,,,,,,,,,,,,,,,,,,C:\Users\d_mal\Zotero\storage\A38V2BRH\249802596_A_General_Theory_of_ScientificIntellectual_Movements.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YU85L2LD,book,2008,"Wagner, Caroline",The New Invisible College: Science for Development,,978-0-8157-9213-0,,,,"Science offers humanity the promise of a better life. Scientific advances have helped save millions of people from disease, famine, and poverty. Penicillin, high yield seeds, and electrification are just three examples of the ways in which science—defined broadly as knowledge about the natural world-contributed to social welfare in the twentieth century. In many countries, such advances have had even more far reaching effects by spurring economic growth and bolstering the creation of the large and vibrant middle class that many theorists believe is an essential precondition of democracy. Yet many other countries have failed to reap similar benefits. The production and application of scientific knowledge have been very unevenly distributed since the birth of modern science in the seventeenth century, contributing to the widening gulf between the developed and developing worlds. 2 This book seeks to explain why that is so, how science is changing in the twenty-first century, and how a new framework for the governance of science can help bridge the gap between the scientific haves and have nots. As Thomas Friedman notes in the epigraph to this chapter, the organization of science is changing in fundamental ways. These changes are both less and more extensive than he suggests. Despite the accelerating diffusion of scientific data, information, and knowledge, the world of science remains far from flat. But critically, its focus has changed from the national to the global level. Self-organizing networks that span the globe are the most notable feature of science today. These networks constitute an invisible college of researchers: scientists who collaborate not because they are told to but because they want to, not because they work in the same laboratory or even in the same field but because they have complementary insight, data, or skills.",09/01/2008,25/07/2021 15:00,25/07/2021 15:00,,,,,,,,The New Invisible College,,,,,,,,,,,,ResearchGate,,ZSCC: 0000004,,; C:\Users\d_mal\Zotero\storage\5TFGVB6W\Wagner_2008_The New Invisible College - Science for Development.pdf,https://www.researchgate.net/publication/318795472_The_New_Invisible_College_Science_for_Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN6REUS,journalArticle,,,Научная школа как структурная единица научной деятельности,,,,,,,,10/12/2021 9:59,10/12/2021 9:59,,76,,,,,,,,,,,,,ru,,,,,Zotero,,,,C:\Users\d_mal\Zotero\storage\U4HQC3AI\Научная школа как структурная единица научной деят.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGXAGS3R,book,2009,"Dezhina, Irina Gennadievna; Kiseleva, Viktorii︠a︡ Viktorovna",Tendent︠s︡ii razvitii︠a︡ nauchnykh shkol v sovremennoĭ Rossii,,978-5-93255-271-1,,,,,2009,10/12/2021 9:22,10/12/2021 9:58,,,124,,,,,,Nauchnye trudy [Institut ekonomiki perekhodnogo perioda],124,,,Institut ėkonomiki perekhodnogo perioda,Moskva,ru,,,,,Library of Congress ISBN,,ZSCC: NoCitationData[s0],,C:\Users\d_mal\Zotero\storage\KNRTKKEW\Dezhina and Kiseleva - 2009 - Tendent︠s︡ii razvitii︠a︡ nauchnykh shkol v sovreme.pdf,,,Education; Theory and practice of education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHH4HKKV,webpage,,,Научные школы: принципы классификации,,,,,https://cyberleninka.ru/article/n/nauchnye-shkoly-printsipy-klassifikatsii/viewer,,,10/12/2021 9:55,10/12/2021 9:55,10/12/2021 9:55,,,,,,,,,,,,,,,,,,,,,,,C:\Users\d_mal\Zotero\storage\TPMZ46PB\viewer.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJL6CGKW,journalArticle,1973,"Crane, Diana",INVISIBLE COLLEGES: DIFFUSION OF KNOWLEDGE IN SCIENTIFIC COMMUNITIES,Social Forces,,0037-7732,10.1093/sf/52.1.135-a,https://doi.org/10.1093/sf/52.1.135-a,,01/09/1973,25/07/2021 14:58,10/12/2021 9:09,25/07/2021 14:58,135-136,,1,52,,Social Forces,INVISIBLE COLLEGES,,,,,,,,,,,,Silverchair,,ZSCC: 0000089,,C:\Users\d_mal\Zotero\storage\Y8RLV5IG\2229830.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W3C5R37U,journalArticle,1965,"Price, Derek",Networks of Scientific Papers,Science,,,,https://garfield.library.upenn.edu/papers/pricenetworks1965.pdf,,30/07/1965,25/07/2021 15:05,10/12/2021 9:09,,510-515,,3683,149,,,,,,,,,,,,,,,,,ZSCC: 0000025,,C:\Users\d_mal\Zotero\storage\X2376MS5\Price_1965_Networks of Scientific Papers.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSFTFAY4,journalArticle,2021,"Maltseva, Daria; Batagelj, Vladimir",Journals publishing social network analysis,Scientometrics,,,10.1007/s11192-021-03889-z,,"This paper presents the analysis of journals publishing articles on social network analysis (SNA). The dataset consists of articles from the Web of Science database obtained by searching for “social network*”, works intensively cited, written by the most prominent authors, and published in the main SNA journals up to July 2018. There were 8943 journals in 70,792 articles with complete descriptions. Using a two-mode network linking publications with journals and a one-mode network of citations between articles, we constructed and analysed the networks of citations and bibliographic coupling among journals. Based on the analysis of these networks, we identify the most prominent journals publishing SNA and reveal their relationships to each other. Special attention is given to the position of journal Social Networks among other journals in the field. We trace the development of some relationships through time and look at their distributions for selected journals. The results show that the field is growing, which can be seen by the annual rise of the number of journals publishing papers in SNA, and the average number of papers on SNA per journal (almost 3 in recent years). The journals which are currently present in the field belong to social and natural sciences. The social sciences group is represented mainly by journals from sociology and management. Other journals mainly come from the fields of physics, computer science, or are general scientific journals. While journals from social and computer sciences are connected with journals from the same fields, physics journals Physica A and Physical Review E have developed their own niche. SNA’s main outlet Social Networks takes a very coherent and important position. It had explicit primacy up to the 2000s; in recent years its relative input has declined significantly due to the large number of papers published in other journals in the field.",25/02/2021,25/07/2021 15:19,10/12/2021 9:09,,,,,126,,Scientometrics,,,,,,,,,,,,,ResearchGate,,ZSCC: 0000001,,,https://www.researchgate.net/publication/349617711_Journals_publishing_social_network_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8SGSX7H,journalArticle,2020,"Maltseva, Daria; Batagelj, Vladimir",iMetrics: the development of the discipline with many names,Scientometrics,,,10.1007/s11192-020-03604-4,,"Different research traditions have developed over time to study the quantitative aspects of information and knowledge production, such as scientometrics, bibliometrics, librametrics, informetrics, cybermetrics, webometrics, or altmetrics. These information metrics, or iMetrics, as they were labeled by Milojević and Leydesdorff in Scientometrics 95(1):141–157, 2013, are unified by the usage of quantitative data analysis, applying various statistical methods and techniques and are often used to supplement and complement each other. Representing different research traditions, they jointly form a common research field, a “discipline with many names”. In this article, we look at the development of iMetrics field and its evolution over time using bibliometric network analysis and identify its common basis, formed by the most important publications, journals, scholars and topics. The dataset consists of articles from the Web of Science database (26,414 records with complete descriptions). Analyzing the citation network, we evaluate the field’s growth and identify the most cited works. Using the Search path count (SPC) approach, we extract the Main path, Key routes paths, and Link islands in the citation network. The results show that in the last forty years the number of published papers increased, and it doubles every 8 years; the number of single author papers dropped from 50 to 10 %, and the number of papers authored by 3 or more authors is increasing. We make the conclusions about the field’s development and its current state. We also present the main authors, journals and keywords from the field, which form its common basis.",13/07/2020,25/07/2021 15:19,10/12/2021 9:09,,,,,125,,Scientometrics,iMetrics,,,,,,,,,,,,ResearchGate,,ZSCC: 0000003,,,https://www.researchgate.net/publication/342900475_iMetrics_the_development_of_the_discipline_with_many_names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9FA2ZRRK,journalArticle,2019,"Maltseva, Daria; Batagelj, Vladimir",Social network analysis as a field of invasions: bibliographic approach to study SNA development,Scientometrics,,"0138-9130, 1588-2861",10.1007/s11192-019-03193-x,http://link.springer.com/10.1007/s11192-019-03193-x,,2019-11,25/07/2021 15:17,10/12/2021 9:09,06/06/2020 22:29,1085-1128,,2,121,,Scientometrics,Social network analysis as a field of invasions,,,,,,,en,,,,,DOI.org (Crossref),,ZSCC: 0000012,,,,sna development; bibliometric analysis; bibliometrics; sna; invasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASURJQTI,journalArticle,2013,"Соколов, Михаил Михайлович; Титаев, Кирилл Дмитриевич",Провинциальная и туземная наука,Антропологический Форум,,1815-8870,,https://www.elibrary.ru/item.asp?id=22415271,"В статье предлагает основанная на этнографии речи (в версии Гоффмана) модель адаптации научных сообществ, локализованных на периферии ""академической системы"", к международным дискуссиям. Перед ними встает выбор - или слушать преимущественно тех, кто занимает в этих дискуссиях центральное положение, даже без особой надежды быть услышанным ими, или уделять преимущественное внимание тем, от кого можно ожидать встречного внимания (часто - близких пространственно), даже если их положение в мировой дискуссии сугубо маргинально. Необходимость легитимировать одну из линий поведения создает целостный стиль академической жизни - или построенный вокруг имитации столичных моделей поведения и культивации своей близости к расположенной ""там"" настоящей науке, или тяготеющий к изоляции, вытесняющий сведения о существовании внешнего мира, подчеркивающий самобытность и изобретающий национальные традиции. Иллюстрации из исследований авторов показывают, как выглядит ""провинциальная"" и ""туземная"" науки в случае российской социологии.",2013,25/07/2021 15:26,10/12/2021 9:09,25/07/2021 15:26,,,19,,,,,,,,,,,ru,,,,,eLibrary.ru,,ZSCC: 0000099,,,https://anthropologie.kunstkamera.ru/files/pdf/019/sokolov_titaev.pdf,,Глобальная Академическая Система; Глобальное Разделение Интеллектуального Труда; Теории Академической Коммуникации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGLCMKI7,journalArticle,2020,"Maltseva, Daria; Batagelj, Vladimir",Towards a systematic description of the field using keywords analysis: main topics in social networks,Scientometrics,,,10.1007/s11192-020-03365-0,,"This paper presents the results of the analysis of keywords used in Social Network Analysis (SNA) articles included in the WoS database and main SNA journals, from 1970 to 2018. 32,409 keywords were obtained from 70,792 works with complete descriptions. We provide a list of the most used keywords and show subgroups of keywords which are connected to each other. To go deeper, we place the keywords into the contexts of selected groups of authors and journals. We use temporal analysis to get an insight into some keyword usage. The distributions of the number of keyword types and tokens over time show fast growth starting from 2010s, which is the result of the growth in the number of articles on SNA topics and applications of SNA in various scientific fields. Even though the most frequently used keywords are trivial or general, the approaches used for the normalization of network link weights allow us to extract keywords representing substantive topics and methodological issues in SNA.",25/01/2020,25/07/2021 15:19,10/12/2021 9:09,,Jan-26,,,123,,Scientometrics,Towards a systematic description of the field using keywords analysis,,,,,,,,,,,,ResearchGate,,ZSCC: 0000006,,C:\Users\d_mal\Zotero\storage\V6EWIVC3\Maltseva_Batagelj_2020_Towards a systematic description of the field using keywords analysis - main.pdf; ,https://www.researchgate.net/publication/338830721_Towards_a_systematic_description_of_the_field_using_keywords_analysis_main_topics_in_social_networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C3NRUP9,book,1999,"Батыгин, Геннадий Семенович; Бестужев-Лада, Игорь Васильевич; Галкин, Александр Абрамович; Грушин, Борис Андреевич; Давыдов, Юрий Николаевич; Заславская, Татьяна Ивановна; Здравомыслов, Андрей Григорьевич; Колбановский, Варлен Викторович; Кон, Игорь Семенович; Лапин, Николай Иванович; Левада, Юрий Александрович; Наумова, Нина Федоровна; Ольшанский, Вадим Борисович; Осипов, Геннадий Васильевич; Руткевич, Михаил Николаевич; Шубкин, Владимир Николаевич; Ядов, Владимир Александрович","Российская социология шестидесятых годов в воспоминаниях и документах / Отв. ред. и авт. предисл. Г. С. Батыгин; Ред.-сост. С. Ф. Ярмолюк. — СПб.: Русский христианский гуманитарный институт, 1999. — 683 с., илл.; Указ, имен: с. 624—674.",,,,,,,1999,25/07/2021 15:28,10/12/2021 9:09,,,,,,,,Российская социология шестидесятых годов в воспоминаниях и документах / Отв. ред. и авт. предисл. Г. С. Батыгин; Ред.-сост. С. Ф. Ярмолюк. — СПб.,,,,,,,,,,,,,,ZSCC: NoCitationData[s1],,C:\Users\d_mal\Zotero\storage\T3IBDPLN\publ.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY8K8G8I,book,1994,"Wasserman, Stanley; Faust, Katherine",Social network analysis: Methods and applications,,,,,,,1994,25/07/2021 15:27,10/12/2021 9:09,,,,,,,,,,8,,,Cambridge university press.,,,,,,,,,ZSCC: 0041197,,C:\Users\d_mal\Zotero\storage\EU62K2D8\Wasserman - Social Network Analysis 1994.pdf,,methodology; sna; our_article; application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDUI4SU9,journalArticle,2005,"Frickel, Scott; Gross, Neil","A General Theory of Scientific/Intellectual Movements - Scott Frickel, Neil Gross, 2005",American Sociological Review,,,https://doi.org/10.1177/000312240507000202,https://journals.sagepub.com/doi/10.1177/000312240507000202,"The histories of all modern scientific and intellectual fields are marked by dynamism. Yet, despite a welter of case study data, sociologists of ideas have been slow to develop general theories for explaining why and how disciplines, subfields, theory groups, bandwagons, actor networks, and other kindred formations arise to alter the intellectual landscape. To fill this lacuna, this article presents a general theory of scientific/intellectual movements (SIMs). The theory synthesizes work in the sociology of ideas, social studies of science, and the literature on social movements to explain the dynamics of SIMs, which the authors take to be central mechanisms for change in the world of knowledge and ideas. Illustrating their arguments with a diverse sampling of positive and negative cases, they define SIMs, identify a set of theoretical presuppositions, and offer four general propositions for explaining the social conditions under which SIMs are most likely to emerge, gain prestige, and achieve some level of institutional stability.",01/04/2005,25/07/2021 15:12,10/12/2021 9:09,25/07/2021 15:12,204-232,,2,70,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZZ57CV3,journalArticle,2001,"Newman, Mark",The structure of scientific collaboration networks | PNAS,PNAS,,,https://doi.org/10.1073/pnas.98.2.404,https://www.pnas.org/content/98/2/404,,16/01/2001,25/07/2021 15:09,10/12/2021 9:09,25/07/2021 15:09,404-409,,2,98,,,,,,,,,,,,,,,,,ZSCC: 0006102,,C:\Users\d_mal\Zotero\storage\ID4R6YHU\404.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI759S4B,book,2010,"Тощенко, Жан Терентьевич; Романовский, Николай Валентинович; Горшков, Михаил Константинович; Кравченко, Сергей Александрович; Голенкова, Зинаида Тихоновна; Игитханян, Елена Давидовна; Яницкий, Олег Николаевич; Маркин, Валерий Васильевич; Дробижева, Леокадия Михайловна; Константиновский, Давид Львович; Балабанов, Сергей Семенович; Тихонов, Александр Васильевич; Здравомыслов, Андрей Григорьевич; Зубок, Юлия Альбертовна; Чупров, Владимир Ильич; Щербина, Вячеслав Вячеславович","Вехи российской социологии 1950-2000-е годы / Под ред. Ж.Т. Тощенко, Н.В. Романовского; СПб.: «Алетейя», 2010. С. 664.",,978-5-91419-403-8,,,,,2010,27/07/2021 5:01,10/12/2021 9:09,,,,,,,,"Вехи российской социологии 1950-2000-е годы / Под ред. Ж.Т. Тощенко, Н.В. Романовского; СПб.",,,,,,,,,,,,,,ZSCC: NoCitationData[s1],,C:\Users\d_mal\Zotero\storage\7IBSAGY8\publ.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
